year,legislation_or_policy,scope,primary_target,outcome_summary,references
1793,Permanent Settlement (Bengal),Bengal / Bihar / Orissa,Zamindari,Converted Mughal revenue collectors into heritable proprietors; crystallised upper-caste landownership,"Guha 1963; Baden-Powell 1892"
1820,Madras Ryotwari Settlement,Madras Presidency,Individual peasant tenure,Direct settlement with cultivators; high revenue demand drove debt; Dalit labourers excluded entirely,"Kumar 1965"
1820,Bombay Ryotwari Settlement,Bombay Presidency,Individual peasant tenure,Similar to Madras; land concentration over following decades,"Baden-Powell 1892"
1822,Mahalwari Settlement (NW Provinces),North-West Provinces / Punjab,Village community tenure,Recognised dominant-caste proprietary brotherhoods; excluded lower castes,"Metcalf 1979"
1865,Indian Forest Act,National,State forest sovereignty,First assertion of crown ownership of forests; began dispossession of Adivasi communities,"Guha 1989"
1871,Criminal Tribes Act,National,Nomadic / Dalit communities,Designated entire communities as criminal; movement restricted; land access eliminated,"Yang 1985"
1878,Indian Forest Act (Revised),National,State forest sovereignty,Created Reserved and Protected Forests; criminalised customary forest use,"Guha 1989"
1879,Deccan Agriculturists Relief Act,Bombay Presidency (Deccan),Moneylender debt,Limited relief from usury; did not address structural landlessness,"Charlesworth 1985"
1900,Punjab Land Alienation Act,Punjab,Land transfer to moneylenders,Restricted transfer of agricultural land to non-agricultural castes; institutionalised caste in property law,"Ali 1988"
1927,Indian Forest Act (Consolidated),National,State forest sovereignty,Remained in force until FRA 2006; underpinned Adivasi dispossession throughout independence era,"Sinha 2009"
1948,Madras Estates Abolition Act,Tamil Nadu,Zamindari abolition,First major zamindari abolition in independent India,"Kumar 1965"
1950,Bihar Zamindari Abolition Act,Bihar,Zamindari abolition,Zamindars evicted tenants before implementation; Dalit labourers gained nothing,"Datt 1998"
1950,UP Zamindari Abolition Act,Uttar Pradesh,Zamindari abolition,Similar implementation failures to Bihar,"Datt 1998"
1951,First Constitutional Amendment,National,Protect land reform laws,Art. 31A inserted; land reform acts shielded from Art. 19 challenge,"Shiva Rao 1968"
1951,Bhoodan movement begins,National (moral campaign),Voluntary redistribution,4.4 million acres pledged; most uncultivable or never transferred,"Narayan 1960"
1955,West Bengal Land Reforms Act,West Bengal,Tenancy reform,Foundation for Operation Barga (1978); later recorded 1.4 million sharecroppers,"Lieten 1992"
1956,Hindu Succession Act,National,Inheritance,Excluded daughters from ancestral property until amended in 2005; perpetuated male-line landownership,"Agnes 1999"
1961,Maharashtra Ceiling Act,Maharashtra,Land ceilings,Ceiling surplus declared; benami evasion reduced actual redistribution,"Deshpande 2002"
1963,Kerala Land Reforms Act,Kerala,Tenancy and ceilings,Among more successful implementations; literacy and Naxalite pressure drove compliance,"Ramachandran 1996"
1972,AP Land Ceiling Act,Andhra Pradesh,Land ceilings,Redistributed some surplus; dominant-caste sabotage limited impact for Dalit families,"Haragopal 1985"
1976,Bonded Labour System (Abolition) Act,National,Bonded / attached labour,Criminalised bonded labour; enforcement weak; Dalit agricultural labourers primary victims,"Brass 1990"
1978,Operation Barga (West Bengal),West Bengal,Tenancy registration,Left Front drove recording of sharecroppers; significant improvements for lower-caste tenants in WB,"Lieten 1992"
1978,44th Constitutional Amendment,National,Property rights,Deleted Art. 19(1)(f) and Art. 31; right to property became constitutional right under Art. 300A only,"Austin 1999"
1989,SC/ST (Prevention of Atrocities) Act,National,Caste-based violence and land,Criminalised land-related atrocities; Sections 3(1)(iv)(v) specifically address land offences,"Thorat & Kumar 2008"
1992,PESA (draft; enacted 1996),Scheduled Areas (5th Schedule),Tribal governance and consent,Gram sabha consent required for land acquisition; implementation varies widely by state,"Bijoy 2008"
1996,Panchayats (Extension to Scheduled Areas) Act (PESA),Scheduled Areas (5th Schedule),Tribal self-governance,Formal framework for tribal gram sabha authority over natural resources,"Bijoy 2008"
2005,Hindu Succession (Amendment) Act,National,Daughters' inheritance rights,Gave daughters equal coparcenary rights in ancestral property; landmark for Dalit women's land rights,"Agarwal 2008"
2006,Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act,National,Adivasi forest land rights,Individual and community rights recognised; ~1.9 million titles distributed by 2023,"MoTA Annual Report 2023"
2011,National Land Reforms Policy (draft),National,Comprehensive reform,Policy drafted under UPA; never formally adopted; recommended ceiling surplus distribution and homestead rights,"Planning Commission 2011"
2013,Right to Fair Compensation and Transparency in Land Acquisition Rehabilitation and Resettlement Act (LARR),National,Land acquisition,Social impact assessment and consent requirements; weakened by 2015 ordinance attempts and state amendments,"Sampat 2015"
2016,Model Tenancy Act (NITI Aayog draft),National,Informal tenancy protection,Model law for states; few states adopted; gap between law and ground reality persists,"NITI Aayog 2016"
2023,Forest Rights Act – ongoing implementation,National,Adivasi forest claims,~4.2 million ha recognised; ~50% individual claims rejected without adequate reasoning by Forest Dept,"MoTA Annual Report 2023"
